bathrooms,bedrooms,beds,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,review_scores_rating,Manhattan,Brooklyn,Queens,Entire_home,Private_room,Shared_room,price
1.0,0,1,350,100,2,0,46,95,1,0,0,1,0,0,225
1.0,1,1,300,125,2,100,75,89,1,0,0,1,0,0,200
1.0,1,1,500,75,2,15,94,95,1,0,0,1,0,0,116
1.0,1,2,0,40,2,10,161,94,1,0,0,1,0,0,150
1.0,1,1,450,75,1,0,53,93,1,0,0,1,0,0,135
1.0,1,0,200,67,1,22,167,94,0,1,0,0,1,0,89
1.0,1,1,500,100,1,10,27,97,1,0,0,1,0,0,120
1.0,1,1,500,70,3,50,59,96,0,1,0,1,0,0,99
1.0,1,4,300,90,4,15,92,95,0,1,0,1,0,0,120
1.0,1,1,0,35,1,20,20,97,0,1,0,0,1,0,60
1.0,1,1,150,50,1,15,92,98,1,0,0,0,1,0,52
1.0,1,0,200,67,1,22,169,95,0,1,0,0,1,0,89
1.0,1,1,0,30,1,18,57,94,0,1,0,1,0,0,98
1.0,1,1,1500,150,1,0,15,97,0,1,0,1,0,0,120
1.0,1,1,500,100,2,25,11,96,0,1,0,1,0,0,150
1.0,1,1,500,90,2,0,61,88,0,1,0,1,0,0,110
1.0,2,2,150,85,4,25,12,95,0,1,0,1,0,0,115
1.0,1,1,300,50,1,20,135,94,0,1,0,0,1,0,80
1.0,1,1,0,110,1,50,76,92,1,0,0,1,0,0,151
1.0,2,0,350,128,2,10,84,94,0,1,0,1,0,0,228
1.0,1,1,1000,150,2,60,19,95,1,0,0,1,0,0,200
1.0,1,1,500,100,2,0,107,97,0,1,0,1,0,0,150
1.0,1,1,200,200,1,75,20,83,1,0,0,0,1,0,85
1.0,1,1,0,0,1,20,19,98,1,0,0,0,1,0,110
1.0,1,2,250,191,2,0,21,92,1,0,0,1,0,0,180
1.0,1,1,0,100,1,0,43,97,0,1,0,0,1,0,80
2.0,2,2,1000,120,2,50,5,100,1,0,0,1,0,0,375
1.0,2,4,500,200,6,20,66,93,1,0,0,1,0,0,250
1.0,1,1,300,60,1,45,25,79,0,1,0,0,1,0,89
1.0,1,1,1500,0,1,0,192,89,1,0,0,0,1,0,52
1.0,1,3,1500,100,1,25,149,93,0,1,0,1,0,0,300
1.0,1,1,0,50,1,25,108,93,1,0,0,0,1,0,99
1.0,1,1,150,40,1,40,49,98,1,0,0,0,1,0,65
1.0,1,1,0,47,1,45,109,98,0,1,0,0,1,0,105
1.0,1,1,500,100,1,0,21,97,1,0,0,1,0,0,170
1.0,2,1,100,30,1,20,146,88,1,0,0,0,1,0,200
1.5,1,1,0,85,2,50,143,97,0,1,0,0,1,0,95
1.0,2,2,0,79,2,14,62,88,0,1,0,0,1,0,145
1.0,2,2,500,100,2,25,72,87,1,0,0,1,0,0,285
2.0,1,2,100,150,3,50,17,94,0,1,0,1,0,0,130
1.0,1,1,0,35,2,0,177,94,0,1,0,0,1,0,85
1.0,1,2,250,80,1,0,171,98,0,1,0,1,0,0,131
1.0,1,2,300,75,1,10,16,87,0,1,0,0,1,0,98
1.0,1,1,100,30,1,55,1,100,1,0,0,0,1,0,89
1.0,1,1,250,50,1,50,30,99,1,0,0,0,1,0,110
2.0,3,3,700,200,4,100,46,88,1,0,0,1,0,0,500
1.0,1,2,500,0,2,0,29,92,0,1,0,1,0,0,80
1.0,1,1,100,50,1,0,171,95,1,0,0,0,1,0,100
2.0,3,3,300,100,5,50,20,98,0,1,0,1,0,0,200
1.0,1,2,200,75,1,10,19,94,0,1,0,0,1,0,125
2.0,2,4,500,75,2,25,7,90,1,0,0,1,0,0,350
1.0,1,1,1000,95,1,0,38,98,1,0,0,1,0,0,199
1.0,2,1,0,50,1,35,36,94,1,0,0,0,1,0,85
1.0,1,3,150,85,2,25,155,92,1,0,0,1,0,0,120
1.0,1,1,500,95,2,75,76,95,1,0,0,1,0,0,185
1.0,1,1,300,120,2,30,33,90,1,0,0,1,0,0,105
1.0,1,1,0,100,1,25,50,97,1,0,0,0,1,0,130
1.0,3,1,111,20,2,25,2,100,0,1,0,0,1,0,77
1.5,1,2,250,85,2,35,84,97,0,1,0,0,1,0,135
1.5,1,1,1000,150,2,75,10,100,0,1,0,1,0,0,199
1.0,1,5,400,0,2,20,126,92,0,1,0,1,0,0,115
1.0,1,1,0,50,2,25,11,100,0,1,0,1,0,0,160
1.0,2,2,350,125,1,0,31,88,1,0,0,1,0,0,195
2.0,1,1,250,25,1,25,27,100,0,1,0,0,1,0,44
1.0,1,1,300,70,1,25,155,93,0,1,0,0,1,0,125
1.0,1,1,200,8,1,25,34,95,1,0,0,0,1,0,69
1.0,1,1,1000,125,2,0,134,98,1,0,0,1,0,0,225
1.0,1,2,250,95,2,25,126,95,1,0,0,1,0,0,219
1.5,2,3,800,165,2,40,80,94,0,1,0,1,0,0,250
1.0,1,1,1000,185,1,0,117,97,1,0,0,1,0,0,196
1.0,2,4,150,80,2,25,84,90,1,0,0,1,0,0,165
1.0,0,1,0,0,1,0,115,93,0,1,0,1,0,0,132
1.0,1,1,400,60,1,0,38,97,1,0,0,1,0,0,150
1.0,1,1,100,50,1,35,122,93,1,0,0,0,1,0,99
1.0,1,1,0,80,1,0,33,98,0,1,0,1,0,0,200
1.0,1,1,150,70,2,35,52,93,0,1,0,1,0,0,150
1.0,1,1,0,30,1,30,51,95,0,1,0,0,1,0,120
1.0,1,2,199,45,1,15,45,87,1,0,0,1,0,0,275
1.0,1,1,299,165,2,50,111,95,1,0,0,1,0,0,299
1.0,1,2,200,78,2,27,152,97,0,1,0,1,0,0,135
1.0,1,1,150,15,1,10,52,88,0,0,1,0,1,0,55
1.0,2,1,200,100,3,25,6,80,0,0,1,0,1,0,140
1.0,1,4,200,85,2,35,107,93,1,0,0,1,0,0,121
1.5,1,1,0,0,1,30,145,97,0,0,0,0,1,0,45
1.0,1,2,500,25,1,0,25,98,0,1,0,0,1,0,71
1.0,1,1,150,80,1,0,129,96,1,0,0,1,0,0,199
1.0,1,1,200,40,2,30,192,92,1,0,0,0,1,0,64
1.0,1,2,0,60,2,30,18,88,0,0,1,1,0,0,140
1.0,1,1,500,125,1,0,7,97,1,0,0,1,0,0,239
1.0,1,1,500,75,2,30,109,99,1,0,0,1,0,0,305
0.0,1,0,0,30,1,40,18,96,1,0,0,0,1,0,120
1.0,1,1,500,130,2,20,42,90,1,0,0,1,0,0,150
1.0,3,1,200,100,3,15,1,100,0,0,1,1,0,0,140
1.0,1,1,100,100,1,20,82,92,1,0,0,1,0,0,250
1.0,3,3,700,100,6,50,97,86,1,0,0,1,0,0,500
1.0,1,1,200,100,1,0,184,97,1,0,0,1,0,0,125
1.0,1,2,150,40,2,35,191,94,1,0,0,0,1,0,92
1.0,1,1,200,90,2,0,1,100,1,0,0,0,1,0,175
1.0,1,2,300,150,2,30,128,89,1,0,0,1,0,0,99
1.0,2,4,150,80,2,25,137,89,1,0,0,1,0,0,140
1.5,1,1,200,30,1,0,10,80,1,0,0,0,1,0,80
2.0,1,1,0,50,1,40,172,97,1,0,0,0,1,0,125
1.0,1,1,400,49,1,0,58,96,1,0,0,1,0,0,130
1.0,1,2,250,75,2,25,114,91,0,1,0,1,0,0,99
1.0,1,1,0,15,1,5,194,89,0,0,0,0,1,0,36
1.0,1,1,0,15,1,5,147,87,0,0,0,0,1,0,37
1.0,1,1,200,50,1,0,30,96,1,0,0,1,0,0,170
1.0,1,1,0,15,1,5,178,88,0,0,0,0,1,0,37
1.0,1,1,0,125,1,0,63,98,1,0,0,1,0,0,205
2.0,2,2,500,125,2,20,125,96,0,1,0,1,0,0,285
1.0,1,1,0,0,1,0,184,96,0,1,0,0,1,0,59
1.0,1,1,200,20,1,35,45,88,0,1,0,0,1,0,39
1.0,1,1,150,50,2,25,38,98,0,0,0,1,0,0,99
